"U.S. shrimp imports, volume by selected sources (1,000 pounds)",,,,,,,,,,
,,,,,,,,,,
"Product, country code, and name 1/",,,2012,2013,2014,2015,2016,2017,Jan-Oct 17,Jan-Oct 18
Total,5330.0,India,145529.79888195,200584.35580969803,239900.41610803799,296783.24621878803,339400.88008104614,471734.570060964,385450.53278634,449026.23373108194
,5600.0,Indonesia,163311.53918095803,178893.650948796,227753.566182198,252243.805880556,258158.495854854,260272.340339382,212026.174233804,240918.39149805
,5490.0,Thailand,299662.597191132,185293.47460806003,143834.248352592,161828.84711032204,181214.963591256,165282.568252326,133576.574292504,86533.721739234
,3310.0,Ecuador,178934.030805348,164341.34016337802,203719.05492057,188933.37387334197,161404.22148076803,158315.420395314,134391.12259671,143957.49554088
,5520.0,Vietnam,90724.752253674,131891.07022560004,162489.351861522,133274.618240274,140297.267456136,123659.01829146601,102069.95311863,104599.92221028
,5700.0,China (Mainland),78575.953441986,71569.785980196,71775.025265286,63008.158489416004,76742.232638022,101188.67531572802,83946.00698353801,88007.05078023601
,2010.0,Mexico,57556.87124103001,40673.514407022,44877.973274064,61698.097139868005,55802.111178618,62761.65970359601,39869.757727506,33788.182277052
,,Other countries,162037.455057828,140707.27644182974,161154.31214471417,131303.69278614013,117023.26039500604,122194.47687375615,98363.15018951404,100210.70940577239
,,"Total
 ",1176332.998053906,1113954.4685845799,1255503.9481089842,1289073.8397387061,1330043.432675706,1465408.7292325322,1189693.271928546,1247041.7071825862
Frozen,5330.0,India,138732.459829866,187586.213144778,221857.32448479603,279448.883248374,318698.901890082,434559.38070825004,357499.28126102407,413004.34167136205
,5600.0,Indonesia,141597.82688486401,151399.38229012804,191790.894678642,202751.344912158,211721.638773834,207715.69068553805,169258.15208181602,186758.792052714
,3310.0,Ecuador,175015.80242181002,160468.231573692,198734.81022901798,182917.396950498,157871.771082522,154958.72246290802,131916.275668926,139184.133966738
,5490.0,Thailand,174793.38251747403,99049.35642399,67730.26480668,72427.93729831801,100111.52346199201,86051.68334355601,70351.72571133,36190.686738528
,5520.0,Vietnam,64975.538911374,81215.079982722,104535.13498356602,75451.629282246,74328.97182580801,56608.039410804,48317.362168446,41704.70209668
,2010.0,Mexico,57136.244795784,39933.03478815,44675.692591698,61180.407801828,55103.257027728,60755.00614533001,38190.508173216,33542.082527814
,3330.0,Peru,18481.809196619997,19876.763925522002,25920.000999396,22643.696812842,20758.965465042,21689.858286054005,18279.841570578003,20200.922725914
,,Other countries,152144.07494164188,125614.31518024218,134721.92833243182,100113.32684278791,101322.55319130013,117284.14874861983,94611.26935436402,96655.88650347013
,,"Total
 ",922877.139499434,865142.3773092241,989966.0511062279,996934.6231490519,1039917.5827183082,1139622.52979106,928424.4159897,967241.5482832202
Fresh,5700.0,China (Mainland),1319.827825008,1339.810518816,1379.1211336979998,1243.711045836,1195.1255862,972.9063024659999,712.970345556,775.753570872
,3310.0,Ecuador,501.046646562,481.002223338,649.971067284,1078.375418946,634.441709916,598.2219750780001,558.4814589060002,365.58585239399997
,1220.0,Canada,27.663596856,2.4846089940000002,13.002860556000002,3165.4469739060005,179.540006436,53.486334342,53.486334342,0.535723146
,5330.0,India,1020.05655318,164.623533984,262.29931169400004,207.439497846,208.217729412,458.810498286,247.775261958,206.27545743000002
,5490.0,Thailand,236.38838932800004,130.18292910000002,248.88418682399998,497.96899425000004,280.304459568,163.611612486,120.12985278000001,210.157796772
,5800.0,South Korea,189.95905000800002,197.31366899999998,123.03113533199999,146.01211506,174.12986404800006,107.490754854,88.44502539599999,91.37276341199998
,5830.0,China (Taiwan),82.44183969000001,141.203834478,160.49868622200003,187.09745065200002,170.75899701000003,70.688999808,70.688999808,104.637973986
,,Other countries,698.4639327959999,671.4573132959999,723.4709601420004,655.7493815460002,887.6116819080003,373.38139578599976,320.737227048,326.3413761720001
,,"Total
 ",4075.847833428,3128.0786310060003,3560.279341752,7181.8008780420005,3730.1300344980004,2798.597873106,2172.714505794,2080.660514184
Prepared 2/,5490.0,Thailand,124632.82628433002,86113.93525497,75855.099359088,88902.940817754,80823.13566969601,79067.27329628401,63104.718728394,50132.877203934004
,5700.0,China (Mainland),56991.13657574399,53627.08843359,56920.20286289401,52081.022298942,59823.14769988199,73286.670636648,60321.12551262,63764.55547912801
,5520.0,Vietnam,25706.503200294002,50673.87160113601,57857.187054491995,57790.393621758005,65847.541869522,66994.672834782,53696.284904304004,62800.48750626
,5600.0,Indonesia,21642.03562563,27493.907100660002,35959.022854146,49317.533031186,46270.62858222,52556.649653844,42768.022151988,54158.93805873601
,5330.0,India,5777.282498904,12833.519130935998,17780.792311548,17126.923472568,20493.760461552,36716.378854428,27703.476263358,35815.61660229
,3310.0,Ecuador,3417.1817369760006,3392.106366348,4334.273624268,4937.6015038979995,2898.00868833,2758.475957328,1916.365468878,4407.775721748
,1220.0,Canada,3475.1324308680005,3549.13277292,3715.705192752,2921.27847354,3345.0002080740005,2944.016944848,2585.83421313,1974.574103544
,,Other countries,7737.912368297984,8000.451983789972,9555.334401816013,11879.722491966095,6894.496743623982,8663.463390204008,7000.314190380013,4664.673709541967
,,"Total
 ",249380.010721044,245684.01264435,261977.617661004,284957.41571161203,286395.71992289997,322987.60156836605,259096.14143305202,277719.498385182
,,,,,,,,,,
"1/ Countries are ranked by the sum of their trade for all full years shown. The last two columns contain data for the previous and current year to date.
2/ Canned, breaded, or otherwise prepared.
Source: Department of Commerce, Bureau of the Census.",,,,,,,,,,
Date run: 12/7/2018 10:51:14 AM,,,,,,,,,,
