Risk Management Matrix (Risk Register),,,,,,,,,,,,,
Project,,,0.0,,,,,,Project #,0.0,,,
Project manager,,,0.0,,,,,,Sponsor,0.0,,,
Project artifacts,,,0.0,,,,,,Updated,0.0,,,
,,,,,,,,,,,,,
ID,Risk Description,Probability,Impact,Detectability,Importance,Category,Trigger Event/Indicator,Risk Response and Description,Contingency Plan,Owner,Status,Date Entered,Date to Review
1.0,What is this risk?,,,,0.0,,What act or event initiates either the risk occurrence or precipitates the response strategy?,How will you respond to this risk and what actions will you take to match that response?,If the risk becomes a reality what will you do in response as a backup or alternative/ workaround?,Who monitors this risk?,,,
2.0,,,,,0.0,,,,,,,,
3.0,,,,,0.0,,,,,,,,
4.0,,,,,0.0,,,,,,,,
5.0,,,,,0.0,,,,,,,,
6.0,,,,,0.0,,,,,,,,
7.0,,,,,0.0,,,,,,,,
8.0,,,,,0.0,,,,,,,,
9.0,,,,,0.0,,,,,,,,
10.0,,,,,0.0,,,,,,,,
11.0,,,,,0.0,,,,,,,,
12.0,,,,,0.0,,,,,,,,
13.0,,,,,0.0,,,,,,,,
14.0,,,,,0.0,,,,,,,,
15.0,,,,,0.0,,,,,,,,
