Initial Project Size Estimate,,,,
Project,,0.0,Project #,0.0
Project manager,,0.0,Sponsor,0.0
Project artifacts,,0.0,Updated,0.0
,,,,
,,Scope Estimate,,
,,Technology Systems Impacted,,
,,1 to 2,3 to 5,6 or more
# of Business Requirements,Less than 50,Automatically do; no approval needed,,
,51 - 100,,,
,100 or more,,,Approval required
,,,,
,,Cost Estimate,,
,,# of Resources Involved,,
,,Less than 10,11 to 50,51 or More
# of Business Requirements,Less than 50,Automatically do; no approval needed,,
,51 - 100,,,
,100 or more,,,Approval required
,,,,
,,Cost Estimate,,
,,# of Resources Involved,,
,,Less than 10,11 to 50,51 or More
Benefit,Low,,,Avoid
,Medium,,,
,High,Automatically do; no approval needed,,
