Stoplight Report,,,,,,,,,,
Project,0.0,,,,,Project #,0.0,,,
Project manager,0.0,,,,,Sponsor,0.0,,,
Project artifacts,0.0,,,,,Updated,0.0,,,
,,,,,,,,,,
,Deliverables,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
Schedule,,,,,,,,,,
Scope,,,,,,,,,,
Cost,,,,,,,,,,
Risk,,,,,,,,,,
Issues,,,,,,,,,,
Planned completion,,,,,,,,,,
Est. completion,,,,,,,,,,
,,,,,,,,,,
Management Alert,,,,,,,,,,
ID,Situation Requiring Management Attention,,,,Action Plan,,,,Owner,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Accomplishments During Reporting Period,,,,,,,,,,
ID,Description of Accomplishment,,,Planned Completion,Date Completed,Owner,,Comments,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Deliverables,Title/Description,,,,,Title/Description,,,,
1.0,,,,,6.0,,,,,
2.0,,,,,7.0,,,,,
3.0,,,,,8.0,,,,,
4.0,,,,,9.0,,,,,
5.0,,,,,10.0,,,,,
